COD_MUNICIPIO;MUNICIPIO;UG;;
14011;Blázquez, Los;99047;;
14012;Bujalance;99047;;
14013;Cabra;99047;;
14014;Cañete de las Torres;99047;;
14015;Carcabuey;99047;;
14016;Cardeña;99047;;
14017;Carlota, La;99047;;
14018;Carpio, El;99047;;
14019;Castro del Río;99047;;
14020;Conquista;99047;;
14021;Córdoba;14021;;
14022;Doña Mencía;99047;;
14023;Dos Torres;99047;;
14024;Encinas Reales;99047;;
14025;Espejo;99047;;
14026;Espiel;99047;;
14027;Fernán-Núñez;99047;;
14028;Fuente la Lancha;99047;;
14029;Fuente Obejuna;99047;;
14030;Fuente Palmera;99047;;
14031;Fuente-Tójar;99047;;
14032;Granjuela, La;99047;;
14033;Guadalcázar;99047;;
14034;Guijo, El;99047;;
14035;Hinojosa del Duque;99047;;
14036;Hornachuelos;99047;;
14037;Iznájar;99047;;
14038;Lucena;99047;;
14039;Luque;99047;;
14040;Montalbán de Córdoba;99047;;
14041;Montemayor;99047;;
14042;Montilla;14042;;
14043;Montoro;99047;;
14044;Monturque;99047;;
14045;Moriles;99047;;
14046;Nueva Carteya;99047;;
14047;Obejo;99047;;
14048;Palenciana;99047;;
14049;Palma del Río;14049;;
14050;Pedro Abad;99047;;
14051;Pedroche;99047;;
14052;Peñarroya-Pueblonuevo;99047;;
14053;Posadas;99047;;
14054;Pozoblanco;99047;;
14055;Priego de Córdoba;99047;;
14056;Puente Genil;14056;;
14057;Rambla, La;99047;;
14058;Rute;99047;;
14059;San Sebastián de los Ballesteros;99047;;
14060;Santaella;99047;;
14061;Santa Eufemia;99047;;
14062;Torrecampo;99047;;
14063;Valenzuela;99047;;
14064;Valsequillo;99047;;
14065;Victoria, La;99047;;
14066;Villa del Río;99047;;
14067;Villafranca de Córdoba;99047;;
14068;Villaharta;99047;;
14069;Villanueva de Córdoba;99047;;
14070;Villanueva del Duque;99047;;
14071;Villanueva del Rey;99047;;
14072;Villaralto;99047;;
14073;Villaviciosa de Córdoba;99047;;
14074;Viso, El;99047;;
14075;Zuheros;99047;;
15001;Abegondo;99200;;
15002;Ames;99201;;
15003;Aranga;15003;;
15004;Ares;15004;;
15005;Arteixo;15005;;
15006;Arzúa;15006;;
15007;Baña, A;15007;;
15008;Bergondo;99200;;
15009;Betanzos;99200;;
15010;Boimorto;15010;;
15011;Boiro;15011;;
15012;Boqueixón;15012;;
15013;Brión;99201;;
15014;Cabana de Bergantiños;15014;;
15015;Cabanas;15015;;
15016;Camariñas;15016;;
15017;Cambre;99200;;
15018;Capela, A;15018;;
15019;Carballo;15019;;
15020;Carnota;99201;;
15021;Carral;99200;;
15022;Cedeira;15022;;
15023;Cee;15023;;
15024;Cerceda;15024;;
15025;Cerdido;15025;;
15026;Cesuras;15026;;
15027;Coirós;15027;;
15028;Corcubión;15028;;
15029;Coristanco;15029;;
15030;Coruña, A;15030;;
15031;Culleredo;99200;;
15032;Curtis;15032;;
15033;Dodro;15033;;
15034;Dumbría;15034;;
15035;Fene;15035;;
15036;Ferrol;15036;;
15037;Fisterra;15037;;
15038;Frades;15038;;
15039;Irixoa;15039;;
15040;Laxe;15040;;
15041;Laracha, A;15041;;
15042;Lousame;99201;;
15043;Malpica de Bergantiños;15043;;
15044;Mañón;15044;;
15045;Mazaricos;15045;;
15046;Melide;15046;;
15047;Mesía;15047;;
15048;Miño;15048;;
15049;Moeche;15049;;
15050;Monfero;15050;;
15051;Mugardos;15051;;
15052;Muxía;15052;;
15053;Muros;99201;;
15054;Narón;15054;;
15055;Neda;15055;;
15056;Negreira;15056;;
15057;Noia;99201;;
15058;Oleiros;99200;;
15059;Ordes;15059;;
15060;Oroso;15060;;
15061;Ortigueira;15061;;
15062;Outes;15062;;
15063;Oza dos Ríos;15063;;
15064;Paderne;15064;;
15065;Padrón;15065;;
15066;Pino, O;15066;;
15067;Pobra do Caramiñal, A;15067;;
15068;Ponteceso;15068;;
15069;Pontedeume;15069;;
15070;Pontes de García Rodríguez, As;15070;;
15071;Porto do Son;99201;;
15072;Rianxo;15072;;
15073;Ribeira;15073;;
15074;Rois;99201;;
15075;Sada;99200;;
15076;San Sadurniño;15076;;
15077;Santa Comba;15077;;
15078;Santiago de Compostela;15078;;
15079;Santiso;15079;;
15080;Sobrado;15080;;
15081;Somozas, As;15081;;
15082;Teo;15082;;
15083;Toques;15083;;
15084;Tordoia;15084;;
15085;Touro;15085;;
15086;Trazo;15086;;
15087;Valdoviño;15087;;
15088;Val do Dubra;15088;;
15089;Vedra;15089;;
15090;Vilasantar;15090;;
15091;Vilarmaior;15091;;
15092;Vimianzo;15092;;
15093;Zas;15093;;
15901;Cariño;15901;;
15902;OZA-CESURAS;15902;;
16001;Abia de la Obispalía;99470;;
16002;Acebrón, El;99470;;
16003;Alarcón;99470;;
16004;Albaladejo del Cuende;99470;;
16005;Albalate de las Nogueras;99470;;
16006;Albendea;99470;;
16007;Alberca de Záncara, La;99470;;
16008;Alcalá de la Vega;99470;;
16009;Alcantud;99470;;
16010;Alcázar del Rey;99470;;
16011;Alcohujate;99470;;
16012;Alconchel de la Estrella;99470;;
16013;Algarra;99470;;
16014;Aliaguilla;99470;;
16015;Almarcha, La;99470;;
16016;Almendros;99470;;
16017;Almodóvar del Pinar;99470;;
16018;Almonacid del Marquesado;99470;;
16019;Altarejos;99470;;
16020;Arandilla del Arroyo;99470;;
16022;Arcos de la Sierra;99470;;
16023;Chillarón de Cuenca;99470;;
16024;Arguisuelas;99470;;
16025;Arrancacepas;99470;;
16026;Atalaya del Cañavate;99470;;
16027;Barajas de Melo;99470;;
16029;Barchín del Hoyo;99470;;
16030;Bascuñana de San Pedro;99470;;
16031;Beamud;99470;;
16032;Belinchón;99470;;
16033;Belmonte;99470;;
16034;Belmontejo;99470;;
16035;Beteta;99470;;
16036;Boniches;99470;;
16038;Buciegas;99470;;
16039;Buenache de Alarcón;99470;;
16040;Buenache de la Sierra;99470;;
16041;Buendía;99470;;
16042;Campillo de Altobuey;99470;;
16043;Campillos-Paravientos;99470;;
16044;Campillos-Sierra;99470;;
16045;Canalejas del Arroyo;99470;;
16046;Cañada del Hoyo;99470;;
16047;Cañada Juncosa;99470;;
16048;Cañamares;99470;;
16049;Cañavate, El;99470;;
16050;Cañaveras;99470;;
16051;Cañaveruelas;99470;;
16052;Cañete;99470;;
16053;Cañizares;99470;;
16055;Carboneras de Guadazaón;99470;;
16056;Cardenete;99470;;
16057;Carrascosa;99470;;
16058;Carrascosa de Haro;99470;;
16060;Casas de Benítez;99470;;
16061;Casas de Fernando Alonso;99470;;
16062;Casas de Garcimolina;99470;;
16063;Casas de Guijarro;99470;;
16064;Casas de Haro;99470;;
16065;Casas de los Pinos;99470;;
16066;Casasimarro;99470;;
16067;Castejón;99470;;
16068;Castillejo de Iniesta;99470;;
16070;Castillejo-Sierra;99470;;
16071;Castillo-Albaráñez;99470;;
16072;Castillo de Garcimuñoz;99470;;
16073;Cervera del Llano;99470;;
16074;Cierva, La;99470;;
16078;Cuenca;99470;;
16079;Cueva del Hierro;99470;;
16081;Chumillas;99470;;
16082;Enguídanos;99470;;
16083;Fresneda de Altarejos;99470;;
16084;Fresneda de la Sierra;99470;;
16085;Frontera, La;99470;;
16086;Fuente de Pedro Naharro;99470;;
16087;Fuentelespino de Haro;99470;;
16088;Fuentelespino de Moya;99470;;
16089;Fuentes;99470;;
16091;Fuertescusa;99470;;
16092;Gabaldón;99470;;
16093;Garaballa;99470;;
16094;Gascueña;99470;;
16095;Graja de Campalbo;99470;;
16096;Graja de Iniesta;99470;;
16097;Henarejos;99470;;
16098;Herrumblar, El;99470;;
16099;Hinojosa, La;99470;;
16100;Hinojosos, Los;99470;;
16101;Hito, El;99470;;
16102;Honrubia;99470;;
16103;Hontanaya;99470;;
16104;Hontecillas;99470;;
16106;Horcajo de Santiago;99470;;
16107;Huélamo;99470;;
16108;Huelves;99470;;
16109;Huérguina;99470;;
16110;Huerta de la Obispalía;99470;;
16111;Huerta del Marquesado;99470;;
16112;Huete;99470;;
16113;Iniesta;99470;;
16115;Laguna del Marquesado;99470;;
16116;Lagunaseca;99470;;
16117;Landete;99470;;
16118;Ledaña;99470;;
16119;Leganiel;99470;;
16121;Majadas, Las;99470;;
16122;Mariana;99470;;
16123;Masegosa;99470;;
16124;Mesas, Las;99470;;
16125;Minglanilla;99470;;
16126;Mira;99470;;
16128;Monreal del Llano;99470;;
16129;Montalbanejo;99470;;
16130;Montalbo;99470;;
16131;Monteagudo de las Salinas;99470;;
16132;Mota de Altarejos;99470;;
16133;Mota del Cuervo;99409;;
16134;Motilla del Palancar;99470;;
16135;Moya;99470;;
16137;Narboneta;99470;;
16139;Olivares de Júcar;99470;;
16140;Olmeda de la Cuesta;99470;;
16141;Olmeda del Rey;99470;;
16142;Olmedilla de Alarcón;99470;;
16143;Olmedilla de Eliz;99470;;
16145;Osa de la Vega;99470;;
16146;Pajarón;99470;;
16147;Pajaroncillo;99470;;
16148;Palomares del Campo;99470;;
16149;Palomera;99470;;
16150;Paracuellos;99470;;
16151;Paredes;99470;;
16152;Parra de las Vegas, La;99470;;
16153;Pedernoso, El;99470;;
16154;Pedroñeras, Las;99470;;
16155;Peral, El;99470;;
16156;Peraleja, La;99470;;
16157;Pesquera, La;99470;;
16158;Picazo, El;99470;;
16159;Pinarejo;99470;;
16160;Pineda de Gigüela;99470;;
16161;Piqueras del Castillo;99470;;
16162;Portalrubio de Guadamejud;99470;;
16163;Portilla;99470;;
16165;Poyatos;99470;;
16166;Pozoamargo;99470;;
16167;Pozorrubio;99470;;
16169;Pozuelo, El;99470;;
16170;Priego;99470;;
16171;Provencio, El;99470;;
16172;Puebla de Almenara;99470;;
16173;Valle de Altomira, El;99470;;
16174;Puebla del Salvador;99470;;
16175;Quintanar del Rey;99470;;
16176;Rada de Haro;99470;;
16177;Reíllo;99470;;
16181;Rozalén del Monte;99470;;
16185;Saceda-Trasierra;99470;;
16186;Saelices;99470;;
16187;Salinas del Manzano;99470;;
16188;Salmeroncillos;99470;;
16189;Salvacañete;99470;;
16190;San Clemente;99470;;
16191;San Lorenzo de la Parrilla;99470;;
16192;San Martín de Boniches;99470;;
16193;San Pedro Palmiches;99470;;
16194;Santa Cruz de Moya;99470;;
16195;Santa María del Campo Rus;99470;;
16196;Santa María de los Llanos;99409;;
16197;Santa María del Val;99470;;
16198;Sisante;99470;;
16199;Solera de Gabaldón;99470;;
16202;Talayuelas;99470;;
16203;Tarancón;99470;;
16204;Tébar;99470;;
16205;Tejadillos;99470;;
16206;Tinajas;99470;;
16209;Torralba;99470;;
16211;Torrejoncillo del Rey;99470;;
16212;Torrubia del Campo;99470;;
16213;Torrubia del Castillo;99470;;
16215;Tragacete;99470;;
16216;Tresjuncos;99470;;
16217;Tribaldos;99470;;
16218;Uclés;99470;;
16219;Uña;99470;;
16224;Valdemeca;99470;;
16225;Valdemorillo de la Sierra;99470;;
16227;Valdemoro-Sierra;99470;;
16228;Valdeolivas;99470;;
16231;Valhermoso de la Fuente;99470;;
16234;Valsalobre;99470;;
16236;Valverde de Júcar;99470;;
16237;Valverdejo;99470;;
16238;Vara de Rey;99470;;
16239;Vega del Codorno;99470;;
16240;Vellisca;99470;;
16242;Villaconejos de Trabaque;99470;;
16243;Villaescusa de Haro;99470;;
16244;Villagarcía del Llano;99470;;
16245;Villalba de la Sierra;99470;;
16246;Villalba del Rey;99470;;
16247;Villalgordo del Marquesado;99470;;
16248;Villalpardo;99470;;
16249;Villamayor de Santiago;99470;;
16250;Villanueva de Guadamejud;99470;;
16251;Villanueva de la Jara;99470;;
16253;Villar de Cañas;99470;;
16254;Villar de Domingo García;99470;;
16255;Villar de la Encina;99470;;
16258;Villar del Humo;99470;;
16259;Villar del Infantado;99470;;
16263;Villar de Olalla;99470;;
16264;Villarejo de Fuentes;99470;;
16265;Villarejo de la Peñuela;99470;;
16266;Villarejo-Periesteban;99470;;
16269;Villares del Saz;99470;;
16270;Villarrubio;99470;;
16271;Villarta;99470;;
16272;Villas de la Ventosa;99470;;
16273;Villaverde y Pasaconsol;99470;;
16274;Víllora;99470;;
16275;Vindel;99470;;
16276;Yémeda;99470;;
16277;Zafra de Záncara;99470;;
16278;Zafrilla;99470;;
16279;Zarza de Tajo;99470;;
16280;Zarzuela;99470;;
16901;Campos del Paraíso;99470;;
16902;Valdetórtola;99470;;
16903;Valeras, Las;99470;;
16904;Fuentenava de Jábaga;99470;;
16905;Arcas del Villar;99470;;
16906;Valdecolmenas, Los;99470;;
16908;Pozorrubielos de la Mancha;99470;;
16909;Sotorribas;99470;;
16910;Villar y Velasco;99470;;
17001;Agullana;99002;;
17002;Aiguaviva;99007;;
17003;Albanyà;99002;;
17004;Albons;99003;;
17005;Far d`Empordà, El;99002;;
17006;Alp;99005;;
17007;Amer;99008;;
17008;Anglès;99008;;
17009;Arbúcies;17009;;
17010;Argelaguer;99006;;
17011;Armentera, L`;99002;;
17012;Avinyonet de Puigventós;99002;;
17013;Begur;99003;;
17014;Vajol, La;99002;;
17015;Banyoles;99011;;
17016;Bàscara;99002;;
17018;Bellcaire d`Empordà;99003;;
17019;Besalú;17019;;
17020;Bescanó;99007;;
17021;Beuda;99006;;
17022;Bisbal d`Empordà, La;99003;;
17023;Blanes;99008;;
17024;Bolvir;99005;;
17025;Bordils;99007;;
17026;Borrassà;99002;;
17027;Breda;99008;;
17028;Brunyola;99008;;
17029;Boadella i les Escaules;99002;;
17030;Cabanes;99002;;
17031;Cabanelles;99002;;
17032;Cadaqués;17032;;
17033;Caldes de Malavella;99008;;
17034;Calonge;99003;;
17035;Camós;99011;;
17036;Campdevànol;99012;;
17037;Campelles;99012;;
17038;Campllong;99007;;
17039;Camprodon;99012;;
17040;Canet d`Adri;99007;;
17041;Cantallops;99002;;
17042;Capmany;99002;;
17043;Queralbs;99012;;
17044;Cassà de la Selva;99007;;
17046;Castellfollit de la Roca;99006;;
17047;Castelló d`Empúries;99002;;
17048;Castell-Platja d`Aro;99003;;
17049;Celrà;17049;;
17050;Cervià de Ter;99007;;
17051;Cistella;99002;;
17052;Siurana;99002;;
17054;Colera;99002;;
17055;Colomers;99003;;
17056;Cornellà del Terri;99011;;
17057;Corçà;99003;;
17058;Crespià;99011;;
17060;Darnius;99002;;
17061;Das;99005;;
17062;Escala, L`;17062;;
17063;Espinelves;99010;;
17064;Espolla;99002;;
17065;Esponellà;99011;;
17066;Figueres;17066;;
17067;Flaçà;99007;;
17068;Foixà;99003;;
17069;Fontanals de Cerdanya;99005;;
17070;Fontanilles;99003;;
17071;Fontcoberta;99011;;
17073;Fornells de la Selva;99007;;
17074;Fortià;99002;;
17075;Garrigàs;99002;;
17076;Garrigoles;99003;;
17077;Garriguella;99002;;
17078;Ger;99005;;
17079;Girona;17079;;
17080;Gombrèn;99012;;
17081;Gualta;99003;;
17082;Guils de Cerdanya;99005;;
17083;Hostalric;99008;;
17084;Isòvol;99005;;
17085;Jafre;99003;;
17086;Jonquera, La;99002;;
17087;Juià;99007;;
17088;Lladó;99002;;
17089;Llagostera;99007;;
17090;Llambilles;99007;;
17091;Llanars;99012;;
17092;Llançà;99002;;
17093;Llers;99002;;
17094;Llívia;99005;;
17095;Lloret de Mar;17095;;
17096;Llosses, Les;99012;;
17097;Madremanya;17097;;
17098;Maià de Montcal;99006;;
17099;Meranges;99005;;
17100;Masarac;99002;;
17101;Massanes;99008;;
17102;Maçanet de Cabrenys;99002;;
17103;Maçanet de la Selva;99008;;
17105;Mieres;99006;;
17106;Mollet de Peralada;99002;;
17107;Molló;99012;;
17109;Montagut i Oix;99006;;
17110;Mont-ras;99003;;
17111;Navata;99002;;
17112;Ogassa;99012;;
17114;Olot;99006;;
17115;Ordis;99002;;
17116;Osor;99008;;
17117;Palafrugell;17117;;
17118;Palamós;99003;;
17119;Palau de Santa Eulàlia;99002;;
17120;Palau-saverdera;99002;;
17121;Palau-sator;99003;;
17123;Palol de Revardit;99011;;
17124;Pals;99003;;
17125;Pardines;99012;;
17126;Parlavà;99003;;
17128;Pau;99002;;
17129;Pedret i Marzà;99002;;
17130;Pera, La;99003;;
17132;Peralada;99002;;
17133;Planes d`Hostoles, Les;99006;;
17134;Planoles;99012;;
17135;Pont de Molins;99002;;
17136;Pontós;99002;;
17137;Porqueres;99011;;
17138;Portbou;99002;;
17139;Preses, Les;99006;;
17140;Port de la Selva, El;99002;;
17141;Puigcerdà;99005;;
17142;Quart;99007;;
17143;Rabós;99002;;
17144;Regencós;99003;;
17145;Ribes de Freser;99012;;
17146;Riells i Viabrea;17146;;
17147;Ripoll;99012;;
17148;Riudarenes;99008;;
17149;Riudaura;99006;;
17150;Riudellots de la Selva;99008;;
17151;Riumors;99002;;
17152;Roses;99002;;
17153;Rupià;99003;;
17154;Sales de Llierca;99006;;
17155;Salt;17155;;
17157;Sant Andreu Salou;99007;;
17158;Sant Climent Sescebes;99002;;
17159;Sant Feliu de Buixalleu;99008;;
17160;Sant Feliu de Guíxols;99003;;
17161;Sant Feliu de Pallerols;99006;;
17162;Sant Ferriol;99006;;
17163;Sant Gregori;99007;;
17164;Sant Hilari Sacalm;99008;;
17165;Sant Jaume de Llierca;99006;;
17166;Sant Jordi Desvalls;17166;;
17167;Sant Joan de les Abadesses;99012;;
17168;Sant Joan de Mollet;99007;;
17169;Sant Julià de Ramis;99007;;
17170;Vallfogona de Ripollès;99012;;
17171;Sant Llorenç de la Muga;99002;;
17172;Sant Martí de Llémena;99007;;
17173;Sant Martí Vell;99007;;
17174;Sant Miquel de Campmajor;99011;;
17175;Sant Miquel de Fluvià;99002;;
17176;Sant Mori;99002;;
17177;Sant Pau de Segúries;99012;;
17178;Sant Pere Pescador;99002;;
17180;Santa Coloma de Farners;17180;;
17181;Santa Cristina d`Aro;99003;;
17182;Santa Llogaia d`Àlguema;99002;;
17183;Sant Aniol de Finestres;99006;;
17184;Santa Pau;99006;;
17185;Sant Joan les Fonts;99006;;
17186;Sarrià de Ter;99007;;
17187;Saus, Camallera i Llampaies;99002;;
17188;Selva de Mar, La;99002;;
17189;Cellera de Ter, La;99008;;
17190;Serinyà;99011;;
17191;Serra de Daró;99003;;
17192;Setcases;99012;;
17193;Sils;99008;;
17194;Susqueda;99008;;
17195;Tallada d`Empordà, La;99003;;
17196;Terrades;99002;;
17197;Torrent;99003;;
17198;Torroella de Fluvià;99002;;
17199;Torroella de Montgrí;99003;;
17200;Tortellà;99006;;
17201;Toses;99012;;
17202;Tossa de Mar;99008;;
17203;Ultramort;99003;;
17204;Ullà;99003;;
17205;Ullastret;99003;;
17206;Urús;99005;;
17207;Vall d`en Bas, La;99006;;
17208;Vall de Bianya, La;99006;;
17209;Vall-llobrega;99003;;
17210;Ventalló;99002;;
17211;Verges;99003;;
17212;Vidrà;99010;;
17213;Vidreres;99008;;
17214;Vilabertran;99002;;
17215;Vilablareix;17215;;
17216;Viladasens;99007;;
17217;Viladamat;99002;;
17218;Vilademuls;99011;;
17220;Viladrau;99016;;
17221;Vilafant;99002;;
17222;Vilaür;99002;;
17223;Vilajuïga;17223;;
17224;Vilallonga de Ter;99012;;
17225;Vilamacolum;99002;;
17226;Vilamalla;99002;;
17227;Vilamaniscle;99002;;
17228;Vilanant;99002;;
17230;Vila-sacra;99002;;
17232;Vilopriu;99003;;
17233;Vilobí d`Onyar;99008;;
17234;Biure;99002;;
17901;Cruïlles, Monells i Sant Sadurní de l`Heura;99003;;
17902;Forallac;17902;;
17903;Sant Julià del Llor i Bonmatí;99008;;
18001;Agrón;99429;;
18002;Alamedilla;99429;;
18003;Albolote;99429;;
18004;Albondón;99429;;
18005;Albuñán;99429;;
18006;Albuñol;99429;;
18007;Albuñuelas;99429;;
18010;Aldeire;99429;;
18011;Alfacar;99429;;
18012;Algarinejo;99429;;
18013;Alhama de Granada;99429;;
18014;Alhendín;99429;;
18015;Alicún de Ortega;99429;;
18016;Almegíjar;99429;;
18017;Almuñécar;99429;;
18018;Alquife;99429;;
18020;Arenas del Rey;99429;;
18021;Armilla;99429;;
18022;Atarfe;99429;;
18023;Baza;99429;;
18024;Beas de Granada;99429;;
18025;Beas de Guadix;99429;;
18027;Benalúa;99429;;
18028;Benalúa de las Villas;99429;;
18029;Benamaurel;99429;;
18030;Bérchules;99429;;
18032;Bubión;99429;;
18033;Busquístar;99429;;
18034;Cacín;99429;;
18035;Cádiar;99429;;
18036;Cájar;99429;;
18037;Calicasas;99429;;
18038;Campotéjar;99429;;
18039;Caniles;99429;;
18040;Cáñar;99429;;
18042;Capileira;99429;;
18043;Carataunas;99429;;
18044;Cástaras;99429;;
18045;Castilléjar;99429;;
18046;Castril;99429;;
18047;Cenes de la Vega;99429;;
18048;Cijuela;99429;;
18049;Cogollos de Guadix;99429;;
18050;Cogollos de la Vega;99429;;
18051;Colomera;99429;;
18053;Cortes de Baza;99429;;
18054;Cortes y Graena;99429;;
18056;Cúllar;99429;;
18057;Cúllar Vega;99429;;
18059;Chauchina;99429;;
18061;Chimeneas;99429;;
18062;Churriana de la Vega;99429;;
18063;Darro;99429;;
18064;Dehesas de Guadix;99429;;
18065;Dehesas Viejas;99429;;
18066;Deifontes;99429;;
18067;Diezma;99429;;
18068;Dílar;99429;;
18069;Dólar;99429;;
18070;Dúdar;99429;;
18071;Dúrcal;99429;;
18072;Escúzar;99429;;
18074;Ferreira;99429;;
18076;Fonelas;99429;;
18078;Freila;99429;;
18079;Fuente Vaqueros;99429;;
18082;Galera;99429;;
18083;Gobernador;99429;;
18084;Gójar;99429;;
18085;Gor;99429;;
18086;Gorafe;99429;;
18087;Granada;18087;;
18088;Guadahortuna;99429;;
18089;Guadix;99429;;
18093;Gualchos;99429;;
18094;Güejar Sierra;99429;;
18095;Güevéjar;99429;;
18096;Huélago;99429;;
18097;Huéneja;99429;;
18098;Huéscar;99429;;
18099;Huétor de Santillán;99429;;
18100;Huétor Tájar;99429;;
18101;Huétor Vega;99429;;
18102;Illora;99429;;
18103;Itrabo;99429;;
18105;Iznalloz;99429;;
18106;Játar;99429;;
18107;Jayena;99429;;
18108;Jerez del Marquesado;99429;;
18109;Jete;99429;;
18111;Jun;99429;;
18112;Juviles;99429;;
18114;Calahorra, La;99429;;
18115;Láchar;99429;;
18116;Lanjarón;99429;;
18117;Lanteira;99429;;
18119;Lecrín;99429;;
18120;Lentegí;99429;;
18121;Lobras;99429;;
18122;Loja;99429;;
18123;Lugros;99429;;
18124;Lújar;99429;;
18126;Malahá, La;99429;;
18127;Maracena;99429;;
18128;Marchal;99429;;
18132;Moclín;99429;;
18133;Molvízar;99429;;
18134;Monachil;99429;;
18135;Montefrío;99429;;
18136;Montejícar;99429;;
18137;Montillana;99429;;
18138;Moraleda de Zafayona;99429;;
18140;Motril;99429;;
18141;Murtas;99429;;
18143;Nigüelas;99429;;
18144;Nívar;99429;;
18145;Ogíjares;99429;;
18146;Orce;99429;;
18147;Órgiva;99429;;
18148;Otívar;99429;;
18149;Otura;99429;;
18150;Padul;99429;;
18151;Pampaneira;99429;;
18152;Pedro Martínez;99429;;
18153;Peligros;99429;;
18154;Peza, La;99429;;
18157;Pinos Genil;99429;;
18158;Pinos Puente;99429;;
18159;Píñar;99429;;
18161;Polícar;99429;;
18162;Polopos;99429;;
18163;Pórtugos;99429;;
18164;Puebla de Don Fadrique;99429;;
18165;Pulianas;99429;;
18167;Purullena;99429;;
18168;Quéntar;99429;;
18170;Rubite;99429;;
18171;Salar;99429;;
18173;Salobreña;99429;;
18174;Santa Cruz del Comercio;99429;;
18175;Santa Fe;99429;;
18176;Soportújar;99429;;
18177;Sorvilán;99429;;
18178;Torre-Cardela;99429;;
18179;Torvizcón;99429;;
18180;Trevélez;99429;;
18181;Turón;99429;;
18182;Ugíjar;99429;;
18183;Válor;99429;;
18184;Vélez de Benaudalla;99429;;
18185;Ventas de Huelma;99429;;
18187;Villanueva de las Torres;99429;;
18188;Villanueva Mesía;99429;;
18189;Víznar;99429;;
18192;Zafarraya;99429;;
18193;Zubia, La;99429;;
18194;Zújar;99429;;
18901;Taha, La;99429;;
18902;Valle, El;99429;;
18903;Nevada;99429;;
18904;Alpujarra de la Sierra;99429;;
18905;Gabias, Las;99429;;
18906;Guajares, Los;99429;;
18907;Valle del Zalabí;99429;;
18908;Villamena;99429;;
18909;Morelábor;99429;;
18910;Pinar, El;99429;;
18911;Vegas del Genil;99429;;
18912;Cuevas del Campo;99429;;
18913;Zagra;99429;;
18914;Valderrubio;99429;;
18915;Domingo Pérez de Granada;99429;;
19001;Abánades;99471;;
19002;Ablanque;99471;;
19003;Adobes;99471;;
19004;Alaminos;99471;;
19005;Alarilla;99407;;
19006;Albalate de Zorita;99471;;
19007;Albares;99471;;
19008;Albendiego;99471;;
19009;Alcocer;99471;;
19010;Alcolea de las Peñas;99471;;
19011;Alcolea del Pinar;99471;;
19013;Alcoroches;99471;;
19015;Aldeanueva de Guadalajara;99471;;
19016;Algar de Mesa;99471;;
19017;Algora;99471;;
19018;Alhóndiga;99471;;
19019;Alique;99471;;
19020;Almadrones;99471;;
19021;Almoguera;99471;;
19022;Almonacid de Zorita;99471;;
19023;Alocén;99471;;
19024;Alovera;99408;;
19027;Alustante;99471;;
19031;Angón;99471;;
19032;Anguita;99471;;
19033;Anquela del Ducado;99471;;
19034;Anquela del Pedregal;99471;;
19036;Aranzueque;99471;;
19037;Arbancón;99471;;
19038;Arbeteta;99471;;
19039;Argecilla;99471;;
19040;Armallones;99471;;
19041;Armuña de Tajuña;99471;;
19042;Arroyo de las Fraguas;99471;;
19043;Atanzón;99471;;
19044;Atienza;99471;;
19045;Auñón;99471;;
19046;Azuqueca de Henares;99408;;
19047;Baides;99471;;
19048;Baños de Tajo;99471;;
19049;Bañuelos;99471;;
19050;Barriopedro;99471;;
19051;Berninches;99471;;
19052;Bodera, La;99471;;
19053;Brihuega;99471;;
19054;Budia;99471;;
19055;Bujalaro;99471;;
19057;Bustares;99471;;
19058;Cabanillas del Campo;99408;;
19059;Campillo de Dueñas;99471;;
19060;Campillo de Ranas;99471;;
19061;Campisábalos;99471;;
19064;Canredondo;99471;;
19065;Cantalojas;99471;;
19066;Cañizar;19066;;
19067;Cardoso de la Sierra, El;99471;;
19070;Casa de Uceda;99471;;
19071;Casar, El;99471;;
19073;Casas de San Galindo;99471;;
19074;Caspueñas;99471;;
19075;Castejón de Henares;99471;;
19076;Castellar de la Muela;99471;;
19078;Castilforte;99471;;
19079;Castilnuevo;99471;;
19080;Cendejas de Enmedio;99471;;
19081;Cendejas de la Torre;99471;;
19082;Centenera;99471;;
19086;Cifuentes;99471;;
19087;Cincovillas;99471;;
19088;Ciruelas;99471;;
19089;Ciruelos del Pinar;99471;;
19090;Cobeta;99471;;
19091;Cogollor;99471;;
19092;Cogolludo;99471;;
19095;Condemios de Abajo;99471;;
19096;Condemios de Arriba;99471;;
19097;Congostrina;99471;;
19098;Copernal;99407;;
19099;Corduente;99471;;
19102;Cubillo de Uceda, El;99471;;
19103;Checa;99471;;
19104;Chequilla;99471;;
19105;Chiloeches;99408;;
19106;Chillarón del Rey;99471;;
19107;Driebes;99471;;
19108;Durón;99471;;
19109;Embid;99471;;
19110;Escamilla;99471;;
19111;Escariche;99471;;
19112;Escopete;99471;;
19113;Espinosa de Henares;99471;;
19114;Esplegares;99471;;
19115;Establés;99471;;
19116;Estriégana;99471;;
19117;Fontanar;99408;;
19118;Fuembellida;99471;;
19119;Fuencemillán;99471;;
19120;Fuentelahiguera de Albatages;99471;;
19121;Fuentelencina;99471;;
19122;Fuentelsaz;99471;;
19123;Fuentelviejo;99471;;
19124;Fuentenovilla;99471;;
19125;Gajanejos;99471;;
19126;Galápagos;99471;;
19127;Galve de Sorbe;99471;;
19129;Gascueña de Bornova;99471;;
19130;Guadalajara;19130;;
