COD_MUNICIPIO;MUNICIPIO;UG;;
03039;Benimassot;99101;;
03040;Benimeli;03040;;
03041;Benissa;03041;;
03042;Benitachell/Poble Nou de Benitatxell, el;03042;;
03043;Biar;03043;;
03044;Bigastro;03044;;
03045;Bolulla;03045;;
03046;Busot;03046;;
03047;Calp;03047;;
03048;Callosa d`En Sarrià;03048;;
03049;Callosa de Segura;03049;;
03050;Campello, el;03050;;
03051;Campo de Mirra/Camp de Mirra, el;03051;;
03052;Cañada;03052;;
03053;Castalla;03053;;
03054;Castell de Castells;99101;;
03055;Catral;03055;;
03056;Cocentaina;03056;;
03057;Confrides;03057;;
03058;Cox;03058;;
03059;Crevillent;03059;;
03060;Quatretondeta;99101;;
03061;Daya Nueva;03061;;
03062;Daya Vieja;03062;;
03063;Dénia;03063;;
03064;Dolores;03064;;
03065;Elche/Elx;03065;;
03066;Elda;03066;;
03067;Facheca;99101;;
03068;Famorca;99101;;
03069;Finestrat;03069;;
03070;Formentera del Segura **;03070;;
03071;Gata de Gorgos;03071;;
03072;Gaianes;99101;;
03073;Gorga;99101;;
03074;Granja de Rocamora;03074;;
03075;Castell de Guadalest, el;03075;;
03076;Guardamar del Segura;03076;;
03077;Fondó de les Neus, el/Hondón de las Nieves **;03077;;
03078;Hondón de los Frailes;03078;;
03079;Ibi;03079;;
03080;Jacarilla;03080;;
03081;Xaló;03081;;
03082;Jávea/Xàbia;03082;;
03083;Jijona/Xixona;03083;;
03084;Lorcha/Orxa, l`;99101;;
03085;Llíber;03085;;
03086;Millena;99101;;
03088;Monforte del Cid;03088;;
03089;Monóvar/Monòver;03089;;
03090;Mutxamel;03090;;
03091;Murla;03091;;
03092;Muro de Alcoy;03092;;
03093;Novelda;03093;;
03094;Nucia, la;03094;;
03095;Ondara;03095;;
03096;Onil;03096;;
03097;Orba;03097;;
03098;Orxeta;03098;;
03099;Orihuela;03099;;
03100;Parcent;03100;;
03101;Pedreguer;03101;;
03102;Pego;03102;;
03103;Penàguila;99101;;
03104;Petrer;03104;;
03105;Pinós, el/Pinoso;03105;;
03106;Planes;99101;;
03107;Polop;03107;;
03109;Rafal;03109;;
03110;Ràfol d`Almúnia, El;03110;;
03111;Redován;03111;;
03112;Relleu;03112;;
03113;Rojales;03113;;
03114;Romana, la;03114;;
03115;Sagra;03115;;
03116;Salinas **;03116;;
03117;Sanet y Negrals;03117;;
03118;San Fulgencio;03118;;
03119;Sant Joan d`Alacant;03119;;
03120;San Miguel de Salinas;03120;;
03121;Santa Pola;03121;;
03122;San Vicente del Raspeig/Sant Vicent del Raspeig;03122;;
03123;Sax;03123;;
03124;Sella;03124;;
03125;Senija;03125;;
03127;Tàrbena;03127;;
03128;Teulada;03128;;
03129;Tibi;03129;;
03130;Tollos;99101;;
03131;Tormos;03131;;
03132;Torremanzanas/Torre de les Maçanes, la;03132;;
03133;Torrevieja;03133;;
03134;Vall d`Alcalà, la;99101;;
03135;Vall d`Ebo, la;99101;;
03136;Vall de Gallinera;03136;;
03137;Vall de Laguar, la;03137;;
03138;Verger, el;03138;;
03139;Villajoyosa/Vila Joiosa, la;03139;;
03140;Villena;03140;;
03901;Poblets, els;03901;;
03902;Pilar de la Horadada;03902;;
03903;Montesinos, Los;03903;;
03904;San Isidro;03904;;
04001;Abla;99427;;
04002;Abrucena;99427;;
04003;Adra;04003;;
04004;Albánchez;99053;;
04005;Alboloduy;99427;;
04006;Albox;99053;;
04007;Alcolea;99427;;
04008;Alcóntar;99053;;
04009;Alcudia de Monteagud;99053;;
04010;Alhabia;99427;;
04011;Alhama de Almería;99427;;
04012;Alicún;99427;;
04013;Almería;04013;;
04014;Almócita;99427;;
04015;Alsodux;99427;;
04016;Antas;99053;;
04017;Arboleas;99053;;
04018;Armuña de Almanzora;99053;;
04019;Bacares;99053;;
04020;Bayárcal;99427;;
04021;Bayarque;99053;;
04022;Bédar;99053;;
04023;Beires;99427;;
04024;Benahadux;99427;;
04026;Benitagla;99053;;
04027;Benizalón;99053;;
04028;Bentarique;99427;;
04029;Berja;04029;;
04030;Canjáyar;99427;;
04031;Cantoria;99053;;
04032;Carboneras;99427;;
04033;Castro de Filabres;99427;;
04034;Cóbdar;99053;;
04035;Cuevas del Almanzora;99053;;
04036;Chercos;99053;;
04037;Chirivel;99053;;
04038;Dalías;04038;;
04041;Enix;99427;;
04043;Felix;04043;;
04044;Fines;99053;;
04045;Fiñana;99427;;
04046;Fondón;99427;;
04047;Gádor;99427;;
04048;Gallardos, Los;99053;;
04049;Garrucha;99053;;
04050;Gérgal;99427;;
04051;Huécija;99427;;
04052;Huércal de Almería;99427;;
04053;Huércal-Overa;99053;;
04054;Illar;99427;;
04055;Instinción;99427;;
04056;Laroya;99053;;
04057;Láujar de Andarax;99427;;
