MUNICIPIO;COD_PROVINCIA;COD_MUNICIPIO;COD_CCAA;NUM_CONTENEDORES; HABITANTES ;
Llanos de Aridane, Los;38;38024;4;116; 20.760 ;
Matanza de Acentejo, La;38;38025;4;63; 9.059 ;
Orotava, La;38;38026;4;241; 42.187 ;
Paso, El;38;38027;4;62; 7.623 ;
Puerto de la Cruz;38;38028;4;199; 30.492 ;
Puntagorda;38;38029;4;15; 2.203 ;
Puntallana;38;38030;4;25; 2.553 ;
Realejos, Los;38;38031;4;190; 36.727 ;
Rosario, El;38;38032;4;117; 17.496 ;
San Andrés y Sauces;38;38033;4;38; 4.182 ;
San Juan de la Rambla;38;38034;4;38; 4.873 ;
San Miguel de Abona;38;38035;4;130; 21.621 ;
